Epochs,Loss,F1
1,0.19526645774344495,0.8
2,0.29364233329398143,0.18181818181818182
3,0.17808488768830666,0.8235294117647058
4,0.14453675236597716,0.8181818181818182
5,0.14383313856322333,0.8333333333333334
6,0.12470271761456084,0.8333333333333334
7,0.1138855515705829,0.8411214953271028
8,0.10253923812037762,0.8737864077669902
9,0.09521595189406916,0.88
10,0.09036970009772473,0.8888888888888888
11,0.084552944136759,0.8979591836734694
12,0.07580603966323993,0.9
13,0.06807375588212439,0.9
14,0.06195773881737225,0.9306930693069307
15,0.06250110231218739,0.8958333333333334
16,0.08729326137096255,0.8771929824561403
17,0.30352972924687,0.4375
18,0.1790437694557742,0.8333333333333334
19,0.15797718298675212,0.8392857142857143
20,0.14021945869650315,0.8468468468468469
21,0.10438875176668981,0.8846153846153846
22,0.14565287706390773,0.92
23,0.08933556573794016,0.8712871287128713
24,0.077049241050726,0.8775510204081632
25,0.06566591768166029,0.8979591836734694
26,0.05658967076199046,0.9306930693069307
27,0.049792570118082316,0.9306930693069307
28,0.043050726951828384,0.9411764705882353
29,0.0412664323689769,0.9514563106796117
30,0.04034012252906117,0.9514563106796117
31,0.039225456666218676,0.9514563106796117
32,0.03797348039565171,0.9514563106796117
33,0.03664222946198206,0.9514563106796117
34,0.035220562183205524,0.9514563106796117
35,0.03379930744850783,0.9514563106796117
36,0.03236188644235524,0.9514563106796117
37,0.03091986908770563,0.9514563106796117
38,0.029503007640098642,0.9607843137254902
39,0.028141729411392546,0.9607843137254902
40,0.026845910619565438,0.9607843137254902
41,0.025597760271196604,0.9702970297029703
42,0.024349748928391302,0.9702970297029703
43,0.023071032686527455,0.9702970297029703
44,0.02175647032670918,0.9702970297029703
45,0.020548393379086947,0.9702970297029703
46,0.019466851013036992,0.9702970297029703
47,0.018476877498596563,0.9702970297029703
48,0.017409104654419017,0.9702970297029703
49,0.016349836544418187,0.9702970297029703
50,0.015302325811240282,0.9702970297029703
51,0.014311138675061735,0.9702970297029703
52,0.013360493276666753,0.9702970297029703
53,0.012468246079439868,0.98
54,0.011642312794667382,0.98
55,0.010896294202767205,0.98989898989899
56,0.010230150947153592,0.98989898989899
57,0.009628227557575572,0.98989898989899
58,0.00905309337455858,0.98989898989899
59,0.008434285259860983,0.98989898989899
60,0.007638447554650616,0.98989898989899
61,0.00644026854406415,0.98989898989899
62,0.004752363271960328,1.0
63,0.0029886552538463235,1.0
64,0.0016087448816156408,1.0
65,0.000851912384356882,1.0
66,0.00044681739376707853,1.0
67,0.0002458808467034072,1.0
68,0.00014523243637043422,1.0
69,9.47912837428516e-05,1.0
70,6.747345731874312e-05,1.0
71,5.041492265984185e-05,1.0
72,3.813164089176531e-05,1.0
73,2.879619834632703e-05,1.0
74,2.175314295101501e-05,1.0
75,1.6525808390937275e-05,1.0
76,1.2684391267876277e-05,1.0
77,9.870510674457054e-06,1.0
78,7.805134016288622e-06,1.0
79,6.2802456256868e-06,1.0
80,5.1449916617581775e-06,1.0
81,4.291578662013503e-06,1.0
82,3.6433092867811867e-06,1.0
83,3.14545130142215e-06,1.0
84,2.758688947414478e-06,1.0
85,2.4545652824815596e-06,1.0
86,2.212334189388613e-06,1.0
87,2.0167742910794097e-06,1.0
88,1.8566546255332695e-06,1.0
89,1.723645928226219e-06,1.0
90,1.6115411134326864e-06,1.0
91,1.515693382190897e-06,1.0
92,1.4326091639507032e-06,1.0
93,1.3596519323522677e-06,1.0
94,1.2948256191728396e-06,1.0
95,1.2366151693004502e-06,1.0
96,1.1838680999630257e-06,1.0
97,1.1357055587810775e-06,1.0
98,1.0914547919768764e-06,1.0
99,1.0505974218352505e-06,1.0
100,1.0127296850890999e-06,1.0
101,9.775319601675891e-07,1.0
102,9.447456583258115e-07,1.0
103,9.141560073200648e-07,1.0
104,8.855795314939793e-07,1.0
105,8.588552146679067e-07,1.0
106,8.338384764721784e-07,1.0
107,8.103972261173181e-07,1.0
108,7.884093884764086e-07,1.0
109,7.677614237883245e-07,1.0
110,7.483474786028394e-07,1.0
111,7.300689065967343e-07,1.0
