Epochs,Loss,F1
1,0.29914187106812795,0.0
2,0.26955145017733734,0.0
3,0.24451377220385528,0.0
4,0.22555165897909685,0.0
5,0.20965178862954403,0.0
6,0.19426219298229774,0.8958333333333334
7,0.17889206643278802,0.8627450980392157
8,0.16378496290581906,0.8627450980392157
9,0.14924913781233948,0.8627450980392157
10,0.1360487906639082,0.8627450980392157
11,0.12506919332872807,0.86
12,0.11616658923798423,0.8484848484848485
13,0.10894840535778232,0.8484848484848485
14,0.10289021347605232,0.8571428571428571
15,0.09811464394238431,0.86
16,0.09461342969685414,0.8712871287128713
17,0.09227740600582965,0.8627450980392157
18,0.09078868263531227,0.8627450980392157
19,0.08955384439899863,0.8627450980392157
20,0.08816377692836573,0.8627450980392157
21,0.08662909258632132,0.8737864077669902
22,0.08527152000456643,0.8823529411764706
23,0.0842597622369725,0.8823529411764706
24,0.0835742802024958,0.8910891089108911
25,0.08316615512952903,0.88
26,0.0827470953159363,0.88
27,0.08223946270722622,0.88
28,0.08150848859516632,0.88
29,0.08057557404353226,0.88
30,0.07969396700503129,0.8910891089108911
31,0.07897977530420186,0.8910891089108911
32,0.07815563595940743,0.8910891089108911
33,0.077280951893376,0.8910891089108911
34,0.07631608685248113,0.9
35,0.07523869383662404,0.9
36,0.07402188458164603,0.9
37,0.07265157396565289,0.9
38,0.0712166064332394,0.9
39,0.0696610695010538,0.9
40,0.06802211047657196,0.9
41,0.06631116983213126,0.9
42,0.06456582751733539,0.9090909090909091
43,0.06282645953467894,0.92
44,0.06114192204257916,0.92
45,0.059540769672459436,0.92
46,0.05806487183116515,0.92
47,0.05667495868602602,0.92
48,0.05531469036554249,0.92
49,0.054000517643290495,0.92
50,0.0526674241440843,0.92
51,0.05129132322724377,0.92
52,0.0498587870128437,0.92
53,0.0483590646993838,0.92
54,0.04681069046364362,0.92
55,0.04524213378747855,0.92
56,0.043627992360916794,0.92
57,0.041977071337153206,0.9306930693069307
58,0.040314058672648534,0.9411764705882353
59,0.03866143593959368,0.9411764705882353
60,0.03707865314798429,0.9411764705882353
61,0.03549648202676304,0.9504950495049505
62,0.03398446018212753,0.96
63,0.03249875372544107,0.9702970297029703
64,0.031045174637851322,0.9702970297029703
65,0.02964880148454414,0.9702970297029703
66,0.028304985334504807,0.9702970297029703
67,0.027017693892188152,0.9702970297029703
68,0.025792132748774926,0.9702970297029703
69,0.024616156256710355,0.9702970297029703
70,0.023538567836062743,0.9702970297029703
71,0.02242174531323048,0.9702970297029703
72,0.021369269406045922,0.9702970297029703
73,0.02041343840777662,0.9803921568627451
74,0.01940674777490785,0.9803921568627451
75,0.018583310837317017,0.9803921568627451
76,0.017645101912278378,0.9803921568627451
77,0.016865174615496165,0.9803921568627451
78,0.016051687391330796,0.9803921568627451
79,0.015343472675889208,0.9803921568627451
80,0.014656332931734697,0.9803921568627451
81,0.013969849448614943,0.9803921568627451
82,0.013390399142568772,0.9803921568627451
83,0.012722827978586608,0.9803921568627451
84,0.012201032087093002,0.9900990099009901
85,0.011615347397713204,0.9900990099009901
86,0.011074294920412581,0.9900990099009901
87,0.01054699791130106,0.9900990099009901
88,0.010074092594600223,0.9900990099009901
89,0.009582352822646556,0.9900990099009901
90,0.009186695722321921,0.9900990099009901
